film_id,usuario,pelicula,puntuacion,resena
sing-street,hamburgerpimp,Sing Street,8.0,Sing Street:“No woman can ever truly love a man who listens to Phil Collins”Me muttering under my breath:“fuck me…”(long pause)“…but at least this isn’t the first time I’ve gone up Against All Odds”
no-country-for-old-men,hamburgerpimp,No Country for Old Men,5.0,"There’s a scene early on in No Country for Old Men, where Anton Chigurh finds himself captured by the authorities and has to fight his way out of a police station. Taking advantage of a distracted deputy, Chigurh sneaks behind him and strangles the unsuspecting lawman, using his own handcuffs to subdue him, before finally cutting his jugular, spilling his life’s blood onto the cheap vinyl floor. As the poor soul flops around, trying to break free of his assassin,…"
north-by-northwest,hamburgerpimp,North by Northwest,5.0,"Look. I’m just as happy as the rest of you. Hitchcock and writer Ernest Lehman gave the audience exactly what they wanted, narratively speaking — Cary Grant’s Roger Thornhill is victorious in the end, able to survive one attempt on his life after another. Thornhill even gets to visit the tunnel of love with the sexy Eve Kendall (Eve Marie Saint), who’s been batting her eyelashes at our hero since she entered the picture. But let’s be real for a moment. After having the crop duster dump a full load of chemicals all over him, dude has 6 months to a year to live, tops."
sinners-2025,hamburgerpimp,Sinners,5.0,"Sinners is filed with beautiful and detailed costume design by Ruth E. Carter. That said, clearly her best decision was to have a vampire wear a Cosby sweater."
sinners-2025,hamburgerpimp,Sinners,5.0,"There’s a rare reaction I can have when a movie firmly grabs hold of me. To clarify — I don’t just mean when a film fully captures my attention — that happens frequently. What I’m referring to happens on a molecular level, when the film is able to make me lean in, tune out everything going on around me, and fully transport me into the world it’s so vividly created. I call it “The Purple Rose of Cairo Effect” and…"
the-terminator,hamburgerpimp,The Terminator,5.0,"Life Lessons I’ve Picked Up Watching The Terminator1. Switchblades may look cool, but they’re incredibly insufficient when you get in a tussle with a cybernetic organism2. It’s always best to opt for an unlisted phone number3. As far as footwear is concerned, Nike will always be a popular and preferred brand, at least through 20294. While it may be preferable to listen to music while having intercourse, wearing a Walkman to do so could have dire…"
peeping-tom,hamburgerpimp,Peeping Tom,5.0,"65 years on and Peeping Tom is still the preeminent horror film about horror movies and the audience’s relationship with the genre. Why are we so fascinated by movies where people are viciously attacked and summarily dispatched via increasing horrific and violent methods?The one aspect of Peeping Tom that fascinates me most is how director Micheal Powell and writer Leo Marks accurately predicted the rise of the slasher film, which was still more than a decade from piercing the…"
his-girl-friday,hamburgerpimp,His Girl Friday,5.0,"Whenever I meet a film fan with an allergy to classic and/or B&W cinema, I show them His Girl Friday, and that typically makes them more receptive to watching TCM joints.If it doesn’t, I just lock them away in my antique, roll-top desk until they tell me what I want to hear."
the-birdcage,jeaba,The Birdcage,8.0,i wish i looked exactly like robin williams in this movie + i wish i had his entire wardrobe
how-to-train-your-dragon-2025,jeaba,How to Train Your Dragon,,probably not going to rate this one because i have a lot of conflicting thoughts about it but overall i really enjoyed it! i’m definitely able to recognize that a live action how to train your dragon is not necessary and doesn’t add much value to the original movie… but i’m also really nerdy about dragons and easily blinded by nostalgia so this movie made me feel giddy as hell
kill-bill-vol-2,jeaba,Kill Bill: Vol. 2,8.0,"uma thurman is just built different, i’d love to wake up from a four year long coma and still have muscles like that"
kill-bill-vol-1,jeaba,Kill Bill: Vol. 1,9.0,love that all the men are stupid and all the women are awesome. Just like real life
sinners-2025,jeaba,Sinners,9.0,more horror musicals asap
but-im-a-cheerleader,jeaba,But I'm a Cheerleader,5.0,perfect movie to start off pride month with
gone-girl,jeaba,Gone Girl,5.0,watchinggone girland shaking my head up and down the whole time amy dunne is on screen so everyone knows that i agree with all of her actions
the-straight-story,jeaba,The Straight Story,8.0,the least stressed i’ve ever been while watching a david lynch movie
sweet-smell-of-success,annabean,Sweet Smell of Success,8.0,"So much to pick apart here about ambition, exploitation, domestic abuse, and racism (I'm still 100% convinced that Steve Dallas is black-coded). But I'm also just mesmerized by Tony Curtis's Maybelline eyelashes."
